id	title	body_html	vendor	product_type	created_at	updated_at	published_at	tags	status	handle	template_suffix	featured_image	variants	images	options	_dlt_load_id	_dlt_id
gid://shopify/Product/9754834436343	The Inventory Not Tracked Snowboard		Shop Monolith	snowboard	2025-07-29 21:57:47-04	2025-07-31 11:06:10-04	2025-07-29 21:57:48-04		ACTIVE	the-inventory-not-tracked-snowboard		"{""id"":""gid://shopify/ProductImage/60870892355831"",""altText"":""Top and bottom view of a snowboard. The top view shows a centred hexagonal logo for Hydrogen that\n          appears to radiate outwards, as well as some overlapping hexagons at the bottom. The bottom view shows an\n          abstract angular grid in purples."",""originalSrc"":""https://cdn.shopify.com/s/files/1/0894/0447/3591/files/snowboard_purple_hydrogen.png?v=1753840669"",""width"":3097,""height"":3908}"	"{""edges"":[{""node"":{""id"":""gid://shopify/ProductVariant/49911462396151"",""title"":""Default Title"",""price"":""949.95"",""position"":1,""inventoryPolicy"":""DENY"",""compareAtPrice"":null,""createdAt"":""2025-07-30T01:57:47Z"",""updatedAt"":""2025-07-30T02:13:35Z"",""taxable"":true,""barcode"":null,""sku"":""sku-untracked-1"",""image"":null,""selectedOptions"":[{""name"":""Title"",""value"":""Default Title""}]}}]}"	"{""edges"":[{""node"":{""id"":""gid://shopify/ProductImage/60870892355831"",""altText"":""Top and bottom view of a snowboard. The top view shows a centred hexagonal logo for Hydrogen that\n          appears to radiate outwards, as well as some overlapping hexagons at the bottom. The bottom view shows an\n          abstract angular grid in purples."",""originalSrc"":""https://cdn.shopify.com/s/files/1/0894/0447/3591/files/snowboard_purple_hydrogen.png?v=1753840669"",""width"":3097,""height"":3908}}]}"	"[{""id"":""gid://shopify/ProductOption/12256935379191"",""name"":""Title"",""position"":1,""values"":[""Default Title""]}]"	1754332811.9772758	jAoynsaZQUbFsQ
gid://shopify/Product/9754834469111	Gift Card	This is a gift card for the store	Snowboard Vendor	giftcard	2025-07-29 21:57:47-04	2025-07-31 11:06:10-04	2025-07-29 21:57:48-04		ACTIVE	gift-card		"{""id"":""gid://shopify/ProductImage/60870892454135"",""altText"":""Gift card that shows text: Generated data gift card"",""originalSrc"":""https://cdn.shopify.com/s/files/1/0894/0447/3591/files/gift_card.png?v=1753840669"",""width"":2881,""height"":2881}"	"{""edges"":[{""node"":{""id"":""gid://shopify/ProductVariant/49911462428919"",""title"":""$10"",""price"":""10.00"",""position"":1,""inventoryPolicy"":""DENY"",""compareAtPrice"":null,""createdAt"":""2025-07-30T01:57:47Z"",""updatedAt"":""2025-07-30T01:57:47Z"",""taxable"":false,""barcode"":null,""sku"":null,""image"":null,""selectedOptions"":[{""name"":""Denominations"",""value"":""$10""}]}},{""node"":{""id"":""gid://shopify/ProductVariant/49911462461687"",""title"":""$25"",""price"":""25.00"",""position"":2,""inventoryPolicy"":""DENY"",""compareAtPrice"":null,""createdAt"":""2025-07-30T01:57:47Z"",""updatedAt"":""2025-07-30T01:57:47Z"",""taxable"":false,""barcode"":null,""sku"":null,""image"":null,""selectedOptions"":[{""name"":""Denominations"",""value"":""$25""}]}},{""node"":{""id"":""gid://shopify/ProductVariant/49911462494455"",""title"":""$50"",""price"":""50.00"",""position"":3,""inventoryPolicy"":""DENY"",""compareAtPrice"":null,""createdAt"":""2025-07-30T01:57:47Z"",""updatedAt"":""2025-07-30T01:57:47Z"",""taxable"":false,""barcode"":null,""sku"":null,""image"":null,""selectedOptions"":[{""name"":""Denominations"",""value"":""$50""}]}},{""node"":{""id"":""gid://shopify/ProductVariant/49911462527223"",""title"":""$100"",""price"":""100.00"",""position"":4,""inventoryPolicy"":""DENY"",""compareAtPrice"":null,""createdAt"":""2025-07-30T01:57:47Z"",""updatedAt"":""2025-07-30T02:10:45Z"",""taxable"":false,""barcode"":null,""sku"":null,""image"":null,""selectedOptions"":[{""name"":""Denominations"",""value"":""$100""}]}}]}"	"{""edges"":[{""node"":{""id"":""gid://shopify/ProductImage/60870892454135"",""altText"":""Gift card that shows text: Generated data gift card"",""originalSrc"":""https://cdn.shopify.com/s/files/1/0894/0447/3591/files/gift_card.png?v=1753840669"",""width"":2881,""height"":2881}}]}"	"[{""id"":""gid://shopify/ProductOption/12256935411959"",""name"":""Denominations"",""position"":1,""values"":[""$10"",""$25"",""$50"",""$100""]}]"	1754332811.9772758	U7N79KGt2SQoAQ
gid://shopify/Product/9754834501879	The Hidden Snowboard		Snowboard Vendor	snowboard	2025-07-29 21:57:47-04	2025-07-31 11:06:10-04			ACTIVE	the-hidden-snowboard		"{""id"":""gid://shopify/ProductImage/60870892093687"",""altText"":""The top view and bottom view of a snowboard. The top view is black with a singular peach cube.\n        The bottom view has a graphic of a stack of blocks in a gradient from light blue, to pink to peach."",""originalSrc"":""https://cdn.shopify.com/s/files/1/0894/0447/3591/files/Main_c8ff0b5d-c712-429a-be00-b29bd55cbc9d.jpg?v=1753840669"",""width"":1600,""height"":1600}"	"{""edges"":[{""node"":{""id"":""gid://shopify/ProductVariant/49911462592759"",""title"":""Default Title"",""price"":""749.95"",""position"":1,""inventoryPolicy"":""DENY"",""compareAtPrice"":null,""createdAt"":""2025-07-30T01:57:47Z"",""updatedAt"":""2025-07-30T02:10:07Z"",""taxable"":true,""barcode"":null,""sku"":null,""image"":null,""selectedOptions"":[{""name"":""Title"",""value"":""Default Title""}]}}]}"	"{""edges"":[{""node"":{""id"":""gid://shopify/ProductImage/60870892093687"",""altText"":""The top view and bottom view of a snowboard. The top view is black with a singular peach cube.\n        The bottom view has a graphic of a stack of blocks in a gradient from light blue, to pink to peach."",""originalSrc"":""https://cdn.shopify.com/s/files/1/0894/0447/3591/files/Main_c8ff0b5d-c712-429a-be00-b29bd55cbc9d.jpg?v=1753840669"",""width"":1600,""height"":1600}}]}"	"[{""id"":""gid://shopify/ProductOption/12256935477495"",""name"":""Title"",""position"":1,""values"":[""Default Title""]}]"	1754332811.9772758	0v0NL6GVO8Ko2A
gid://shopify/Product/9754834534647	The Compare at Price Snowboard		Shop Monolith	snowboard	2025-07-29 21:57:47-04	2025-07-31 11:06:10-04	2025-07-29 21:57:48-04		ACTIVE	the-compare-at-price-snowboard		"{""id"":""gid://shopify/ProductImage/60870892323063"",""altText"":""Top and bottom view of a snowboard. The top view shows pixelated clouds, with the top-most one being\n        the shape of the Shopify bag logo. The bottom view has a pixelated cloudy sky with blue, pink and purple\n        colours."",""originalSrc"":""https://cdn.shopify.com/s/files/1/0894/0447/3591/files/snowboard_sky.png?v=1753840670"",""width"":3097,""height"":3908}"	"{""edges"":[{""node"":{""id"":""gid://shopify/ProductVariant/49911462559991"",""title"":""Default Title"",""price"":""785.95"",""position"":1,""inventoryPolicy"":""DENY"",""compareAtPrice"":""885.95"",""createdAt"":""2025-07-30T01:57:47Z"",""updatedAt"":""2025-07-30T02:08:00Z"",""taxable"":true,""barcode"":null,""sku"":null,""image"":null,""selectedOptions"":[{""name"":""Title"",""value"":""Default Title""}]}}]}"	"{""edges"":[{""node"":{""id"":""gid://shopify/ProductImage/60870892323063"",""altText"":""Top and bottom view of a snowboard. The top view shows pixelated clouds, with the top-most one being\n        the shape of the Shopify bag logo. The bottom view has a pixelated cloudy sky with blue, pink and purple\n        colours."",""originalSrc"":""https://cdn.shopify.com/s/files/1/0894/0447/3591/files/snowboard_sky.png?v=1753840670"",""width"":3097,""height"":3908}}]}"	"[{""id"":""gid://shopify/ProductOption/12256935444727"",""name"":""Title"",""position"":1,""values"":[""Default Title""]}]"	1754332811.9772758	EJR1T0MxyJ37Xw
gid://shopify/Product/9754834567415	Selling Plans Ski Wax		Shop Monolith	accessories	2025-07-29 21:57:47-04	2025-07-31 11:06:11-04	2025-07-29 21:57:48-04		ACTIVE	selling-plans-ski-wax		"{""id"":""gid://shopify/ProductImage/60870892388599"",""altText"":""A bar of golden yellow wax"",""originalSrc"":""https://cdn.shopify.com/s/files/1/0894/0447/3591/files/snowboard_wax.png?v=1753840669"",""width"":2881,""height"":2881}"	"{""edges"":[{""node"":{""id"":""gid://shopify/ProductVariant/49911462920439"",""title"":""Selling Plans Ski Wax"",""price"":""24.95"",""position"":1,""inventoryPolicy"":""DENY"",""compareAtPrice"":null,""createdAt"":""2025-07-30T01:57:47Z"",""updatedAt"":""2025-07-31T01:36:10Z"",""taxable"":true,""barcode"":null,""sku"":null,""image"":null,""selectedOptions"":[{""name"":""Title"",""value"":""Selling Plans Ski Wax""}]}},{""node"":{""id"":""gid://shopify/ProductVariant/49911462953207"",""title"":""Special Selling Plans Ski Wax"",""price"":""49.95"",""position"":2,""inventoryPolicy"":""DENY"",""compareAtPrice"":null,""createdAt"":""2025-07-30T01:57:47Z"",""updatedAt"":""2025-07-30T01:57:47Z"",""taxable"":true,""barcode"":null,""sku"":null,""image"":null,""selectedOptions"":[{""name"":""Title"",""value"":""Special Selling Plans Ski Wax""}]}},{""node"":{""id"":""gid://shopify/ProductVariant/49911462985975"",""title"":""Sample Selling Plans Ski Wax"",""price"":""9.95"",""position"":3,""inventoryPolicy"":""DENY"",""compareAtPrice"":null,""createdAt"":""2025-07-30T01:57:47Z"",""updatedAt"":""2025-07-30T01:57:47Z"",""taxable"":true,""barcode"":null,""sku"":null,""image"":null,""selectedOptions"":[{""name"":""Title"",""value"":""Sample Selling Plans Ski Wax""}]}}]}"	"{""edges"":[{""node"":{""id"":""gid://shopify/ProductImage/60870892388599"",""altText"":""A bar of golden yellow wax"",""originalSrc"":""https://cdn.shopify.com/s/files/1/0894/0447/3591/files/snowboard_wax.png?v=1753840669"",""width"":2881,""height"":2881}},{""node"":{""id"":""gid://shopify/ProductImage/60870892421367"",""altText"":""A bar of purple wax"",""originalSrc"":""https://cdn.shopify.com/s/files/1/0894/0447/3591/files/wax-special.png?v=1753840669"",""width"":2881,""height"":2881}},{""node"":{""id"":""gid://shopify/ProductImage/60870892486903"",""altText"":""a small cube of wax"",""originalSrc"":""https://cdn.shopify.com/s/files/1/0894/0447/3591/files/sample-normal-wax.png?v=1753840669"",""width"":2881,""height"":2881}}]}"	"[{""id"":""gid://shopify/ProductOption/12256935510263"",""name"":""Title"",""position"":1,""values"":[""Selling Plans Ski Wax"",""Special Selling Plans Ski Wax"",""Sample Selling Plans Ski Wax""]}]"	1754332811.9772758	OffInd7u7O4jJQ
gid://shopify/Product/9754834600183	The Draft Snowboard		Snowboard Vendor	snowboard	2025-07-29 21:57:47-04	2025-07-30 09:57:53-04			DRAFT	the-draft-snowboard		"{""id"":""gid://shopify/ProductImage/60870892060919"",""altText"":""Top and bottom view of a snowboard.The top view shows the text “hydrogen” in overlapping blue,\n          pink and black font. The bottom view is a purple to blue gradient with white geometric pattern overlay."",""originalSrc"":""https://cdn.shopify.com/s/files/1/0894/0447/3591/files/Main_5127218a-8f6c-498f-b489-09242c0fab0a.jpg?v=1753840669"",""width"":1600,""height"":1600}"	"{""edges"":[{""node"":{""id"":""gid://shopify/ProductVariant/49911462625527"",""title"":""Default Title"",""price"":""2629.95"",""position"":1,""inventoryPolicy"":""DENY"",""compareAtPrice"":null,""createdAt"":""2025-07-30T01:57:47Z"",""updatedAt"":""2025-07-30T01:57:47Z"",""taxable"":true,""barcode"":null,""sku"":null,""image"":null,""selectedOptions"":[{""name"":""Title"",""value"":""Default Title""}]}}]}"	"{""edges"":[{""node"":{""id"":""gid://shopify/ProductImage/60870892060919"",""altText"":""Top and bottom view of a snowboard.The top view shows the text “hydrogen” in overlapping blue,\n          pink and black font. The bottom view is a purple to blue gradient with white geometric pattern overlay."",""originalSrc"":""https://cdn.shopify.com/s/files/1/0894/0447/3591/files/Main_5127218a-8f6c-498f-b489-09242c0fab0a.jpg?v=1753840669"",""width"":1600,""height"":1600}}]}"	"[{""id"":""gid://shopify/ProductOption/12256935543031"",""name"":""Title"",""position"":1,""values"":[""Default Title""]}]"	1754332811.9772758	0yUHhhkZz8q9WQ
gid://shopify/Product/9754834632951	The Videographer Snowboard		Shop Monolith	snowboard	2025-07-29 21:57:47-04	2025-07-31 11:06:11-04	2025-07-29 21:57:48-04		ACTIVE	the-videographer-snowboard		"{""id"":""gid://shopify/ProductImage/60870892126455"",""altText"":""The top and bottom view of a snowboard. The top has view is turquoise and black with graphics of\n        trees. The bottom view is turquoise with the word hydrogen written in cursive."",""originalSrc"":""https://cdn.shopify.com/s/files/1/0894/0447/3591/files/Main.jpg?v=1753840669"",""width"":1024,""height"":1024}"	"{""edges"":[{""node"":{""id"":""gid://shopify/ProductVariant/49911462854903"",""title"":""Default Title"",""price"":""885.95"",""position"":1,""inventoryPolicy"":""DENY"",""compareAtPrice"":null,""createdAt"":""2025-07-30T01:57:47Z"",""updatedAt"":""2025-07-30T01:57:47Z"",""taxable"":true,""barcode"":null,""sku"":null,""image"":null,""selectedOptions"":[{""name"":""Title"",""value"":""Default Title""}]}}]}"	"{""edges"":[{""node"":{""id"":""gid://shopify/ProductImage/60870892126455"",""altText"":""The top and bottom view of a snowboard. The top has view is turquoise and black with graphics of\n        trees. The bottom view is turquoise with the word hydrogen written in cursive."",""originalSrc"":""https://cdn.shopify.com/s/files/1/0894/0447/3591/files/Main.jpg?v=1753840669"",""width"":1024,""height"":1024}}]}"	"[{""id"":""gid://shopify/ProductOption/12256935575799"",""name"":""Title"",""position"":1,""values"":[""Default Title""]}]"	1754332811.9772758	6L0vp4LeTdRxWw
gid://shopify/Product/9754834665719	The Complete Snowboard	This <b>PREMIUM</b> <i>snowboard</i> is so <b>SUPER</b><i>DUPER</i> awesome!	Snowboard Vendor	snowboard	2025-07-29 21:57:47-04	2025-07-31 11:06:11-04	2025-07-29 21:57:48-04		ACTIVE	the-complete-snowboard		"{""id"":""gid://shopify/ProductImage/60870892159223"",""altText"":""Top and bottom view of a snowboard. The top view shows abstract circles and lines in shades of\n          teal. The bottom view shows abstract circles and lines in shades of purple and blue with the text “SHOPIFY”\n          in a sans serif typeface on top."",""originalSrc"":""https://cdn.shopify.com/s/files/1/0894/0447/3591/files/Main_589fc064-24a2-4236-9eaf-13b2bd35d21d.jpg?v=1753840669"",""width"":1600,""height"":1600}"	"{""edges"":[{""node"":{""id"":""gid://shopify/ProductVariant/49911462691063"",""title"":""Ice"",""price"":""699.95"",""position"":1,""inventoryPolicy"":""DENY"",""compareAtPrice"":null,""createdAt"":""2025-07-30T01:57:47Z"",""updatedAt"":""2025-07-30T01:57:47Z"",""taxable"":true,""barcode"":null,""sku"":null,""image"":null,""selectedOptions"":[{""name"":""Color"",""value"":""Ice""}]}},{""node"":{""id"":""gid://shopify/ProductVariant/49911462723831"",""title"":""Dawn"",""price"":""699.95"",""position"":2,""inventoryPolicy"":""DENY"",""compareAtPrice"":null,""createdAt"":""2025-07-30T01:57:47Z"",""updatedAt"":""2025-07-31T01:36:10Z"",""taxable"":true,""barcode"":null,""sku"":null,""image"":null,""selectedOptions"":[{""name"":""Color"",""value"":""Dawn""}]}},{""node"":{""id"":""gid://shopify/ProductVariant/49911462756599"",""title"":""Powder"",""price"":""699.95"",""position"":3,""inventoryPolicy"":""DENY"",""compareAtPrice"":null,""createdAt"":""2025-07-30T01:57:47Z"",""updatedAt"":""2025-07-30T01:57:47Z"",""taxable"":true,""barcode"":null,""sku"":null,""image"":null,""selectedOptions"":[{""name"":""Color"",""value"":""Powder""}]}},{""node"":{""id"":""gid://shopify/ProductVariant/49911462789367"",""title"":""Electric"",""price"":""699.95"",""position"":4,""inventoryPolicy"":""DENY"",""compareAtPrice"":null,""createdAt"":""2025-07-30T01:57:47Z"",""updatedAt"":""2025-07-30T02:26:50Z"",""taxable"":true,""barcode"":null,""sku"":null,""image"":null,""selectedOptions"":[{""name"":""Color"",""value"":""Electric""}]}},{""node"":{""id"":""gid://shopify/ProductVariant/49911462887671"",""title"":""Sunset"",""price"":""699.95"",""position"":5,""inventoryPolicy"":""DENY"",""compareAtPrice"":null,""createdAt"":""2025-07-30T01:57:47Z"",""updatedAt"":""2025-07-30T01:57:47Z"",""taxable"":true,""barcode"":null,""sku"":null,""image"":null,""selectedOptions"":[{""name"":""Color"",""value"":""Sunset""}]}}]}"	"{""edges"":[{""node"":{""id"":""gid://shopify/ProductImage/60870892159223"",""altText"":""Top and bottom view of a snowboard. The top view shows abstract circles and lines in shades of\n          teal. The bottom view shows abstract circles and lines in shades of purple and blue with the text “SHOPIFY”\n          in a sans serif typeface on top."",""originalSrc"":""https://cdn.shopify.com/s/files/1/0894/0447/3591/files/Main_589fc064-24a2-4236-9eaf-13b2bd35d21d.jpg?v=1753840669"",""width"":1600,""height"":1600}}]}"	"[{""id"":""gid://shopify/ProductOption/12256935608567"",""name"":""Color"",""position"":1,""values"":[""Ice"",""Dawn"",""Powder"",""Electric"",""Sunset""]}]"	1754332811.9772758	vmRCmdAfo+C2UA
gid://shopify/Product/9754834698487	The Minimal Snowboard		Shop Monolith	""	2025-07-29 21:57:47-04	2025-07-31 11:06:11-04			ACTIVE	the-minimal-snowboard			"{""edges"":[{""node"":{""id"":""gid://shopify/ProductVariant/49911462658295"",""title"":""Default Title"",""price"":""885.95"",""position"":1,""inventoryPolicy"":""DENY"",""compareAtPrice"":null,""createdAt"":""2025-07-30T01:57:47Z"",""updatedAt"":""2025-07-30T01:57:47Z"",""taxable"":true,""barcode"":null,""sku"":null,""image"":null,""selectedOptions"":[{""name"":""Title"",""value"":""Default Title""}]}}]}"	"{""edges"":[]}"	"[{""id"":""gid://shopify/ProductOption/12256935641335"",""name"":""Title"",""position"":1,""values"":[""Default Title""]}]"	1754332811.9772758	KkXESbC/HgE+ng
gid://shopify/Product/9754834731255	The Out of Stock Snowboard		Shop Monolith	snowboard	2025-07-29 21:57:47-04	2025-07-31 11:06:11-04	2025-07-29 21:57:48-04		ACTIVE	the-out-of-stock-snowboard		"{""id"":""gid://shopify/ProductImage/60870892290295"",""altText"":""Top and bottom view of a snowboard. The top view shows a toggle at the top in shades of blue and\n        yellow. The bottom view shows an abstract illustration of toggles in blues and yellows."",""originalSrc"":""https://cdn.shopify.com/s/files/1/0894/0447/3591/files/Main_f44a9605-cd62-464d-b095-d45cdaa0d0d7.jpg?v=1753840669"",""width"":3908,""height"":3908}"	"{""edges"":[{""node"":{""id"":""gid://shopify/ProductVariant/49911462822135"",""title"":""Default Title"",""price"":""885.95"",""position"":1,""inventoryPolicy"":""DENY"",""compareAtPrice"":null,""createdAt"":""2025-07-30T01:57:47Z"",""updatedAt"":""2025-07-30T01:57:47Z"",""taxable"":true,""barcode"":null,""sku"":null,""image"":null,""selectedOptions"":[{""name"":""Title"",""value"":""Default Title""}]}}]}"	"{""edges"":[{""node"":{""id"":""gid://shopify/ProductImage/60870892290295"",""altText"":""Top and bottom view of a snowboard. The top view shows a toggle at the top in shades of blue and\n        yellow. The bottom view shows an abstract illustration of toggles in blues and yellows."",""originalSrc"":""https://cdn.shopify.com/s/files/1/0894/0447/3591/files/Main_f44a9605-cd62-464d-b095-d45cdaa0d0d7.jpg?v=1753840669"",""width"":3908,""height"":3908}}]}"	"[{""id"":""gid://shopify/ProductOption/12256935674103"",""name"":""Title"",""position"":1,""values"":[""Default Title""]}]"	1754332811.9772758	oSylBUI0pJCNgA
