id,title,body_html,vendor,product_type,created_at,updated_at,published_at,tags,status,handle,template_suffix,featured_image,variants,images,options,_dlt_load_id,_dlt_id
sdv-id-QXLQtQ,AAAAA,AAAAA,AAAAA,AAAAA,1970-01-21 02:10:40-05:00,1970-01-21 02:12:55-05:00,1970-01-21 02:10:40-05:00,,ACTIVE,AAAAA,,AAAAA,AAAAA,AAAAA,AAAAA,1754462620.822348,nSUr+HiXJ9WSQA
sdv-id-PyZciv,AAAAB,AAAAB,AAAAB,AAAAB,1970-01-21 02:10:40-05:00,1970-01-21 02:12:55-05:00,1970-01-21 02:10:40-05:00,,ACTIVE,AAAAB,,AAAAB,AAAAB,AAAAB,AAAAB,1754462620.822348,1dQRVUFsJbNqpg
sdv-id-qFHTwq,AAAAC,AAAAC,AAAAC,AAAAC,1970-01-21 02:10:40-05:00,1970-01-21 02:12:55-05:00,1970-01-21 02:10:40-05:00,,ACTIVE,AAAAC,,AAAAC,AAAAC,AAAAC,AAAAC,1754462620.822348,nSUr+HiXJ9WSQA
sdv-id-tMiZRL,AAAAD,AAAAD,AAAAD,AAAAD,1970-01-21 02:10:40-05:00,1970-01-21 02:12:55-05:00,1970-01-21 02:10:40-05:00,,ACTIVE,AAAAD,,AAAAD,AAAAD,AAAAD,AAAAD,1754462620.822348,vSKaZOC2Nrmh5Q
sdv-id-rsRoPs,AAAAE,AAAAE,AAAAE,AAAAE,1970-01-21 02:10:40-05:00,1970-01-21 02:12:55-05:00,1970-01-21 02:10:40-05:00,,ACTIVE,AAAAE,,AAAAE,AAAAE,AAAAE,AAAAE,1754462620.822348,tuq3JXWnJhgnRA
sdv-id-nWDbuz,AAAAF,AAAAF,AAAAF,AAAAF,1970-01-21 02:10:40-05:00,1970-01-21 02:11:23-05:00,1970-01-21 02:10:40-05:00,,ACTIVE,AAAAF,,AAAAF,AAAAF,AAAAF,AAAAF,1754462620.822348,EyHO9IAMd8+mEw
sdv-id-LutcUY,AAAAG,AAAAG,AAAAG,AAAAG,1970-01-21 02:10:40-05:00,1970-01-21 02:12:55-05:00,1970-01-21 02:10:40-05:00,,ACTIVE,AAAAG,,AAAAG,AAAAG,AAAAG,AAAAG,1754462620.822348,xyna7mRTZDDzgw
sdv-id-pPnrAD,AAAAH,AAAAH,AAAAH,AAAAH,1970-01-21 02:10:40-05:00,1970-01-21 02:11:23-05:00,1970-01-21 02:10:40-05:00,,ACTIVE,AAAAH,,AAAAH,AAAAH,AAAAH,AAAAH,1754462620.822348,slZzIAdBpy9iMg
sdv-id-GApmut,AAAAI,AAAAI,AAAAI,AAAAI,1970-01-21 02:10:40-05:00,1970-01-21 02:12:55-05:00,1970-01-21 02:10:40-05:00,,DRAFT,AAAAI,,AAAAI,AAAAI,AAAAI,AAAAI,1754462620.822348,1dQRVUFsJbNqpg
sdv-id-kPbqqM,AAAAJ,AAAAJ,AAAAJ,AAAAJ,1970-01-21 02:10:40-05:00,1970-01-21 02:12:55-05:00,1970-01-21 02:10:40-05:00,,ACTIVE,AAAAJ,,AAAAJ,AAAAJ,AAAAJ,AAAAJ,1754462620.822348,xyna7mRTZDDzgw
sdv-id-aYvByV,AAAAK,AAAAK,AAAAK,AAAAK,1970-01-21 02:10:40-05:00,1970-01-21 02:12:55-05:00,1970-01-21 02:10:40-05:00,,ACTIVE,AAAAK,,AAAAK,AAAAK,AAAAK,AAAAK,1754462620.822348,yfUE7C7jdExjdQ
