id,title,body_html,vendor,product_type,created_at,updated_at,published_at,tags,status,handle,template_suffix,featured_image,variants,images,options,_dlt_load_id,_dlt_id
sdv-id-JEwcHy,AAAAA,AAAAA,AAAAA,AAAAA,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,,ACTIVE,AAAAA,,AAAAA,AAAAA,AAAAA,AAAAA,1754462620.822348,acaoYYKfMpW6mQ
sdv-id-vwAWcX,AAAAB,AAAAB,AAAAB,AAAAB,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,ACTIVE,AAAAB,,AAAAB,AAAAB,AAAAB,AAAAB,1754462620.822348,U8fTht/ayStcdQ
sdv-id-uBSvLC,AAAAC,AAAAC,AAAAC,AAAAC,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,ACTIVE,AAAAC,,AAAAC,AAAAC,AAAAC,AAAAC,1754462620.822348,yfUE7C7jdExjdQ
sdv-id-vNocgl,AAAAD,AAAAD,AAAAD,AAAAD,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,ACTIVE,AAAAD,,AAAAD,AAAAD,AAAAD,AAAAD,1754462620.822348,vSKaZOC2Nrmh5Q
sdv-id-lUOurL,AAAAE,AAAAE,AAAAE,AAAAE,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,,ACTIVE,AAAAE,,AAAAE,AAAAE,AAAAE,AAAAE,1754462620.822348,ePdlhLaSgSzzBw
sdv-id-HRrNZE,AAAAF,AAAAF,AAAAF,AAAAF,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,ACTIVE,AAAAF,,AAAAF,AAAAF,AAAAF,AAAAF,1754462620.822348,nSUr+HiXJ9WSQA
sdv-id-ytkowg,AAAAG,AAAAG,AAAAG,AAAAG,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,ACTIVE,AAAAG,,AAAAG,AAAAG,AAAAG,AAAAG,1754462620.822348,ePdlhLaSgSzzBw
sdv-id-LAqCTt,AAAAH,AAAAH,AAAAH,AAAAH,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,ACTIVE,AAAAH,,AAAAH,AAAAH,AAAAH,AAAAH,1754462620.822348,1dQRVUFsJbNqpg
sdv-id-DJxVBg,AAAAI,AAAAI,AAAAI,AAAAI,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,DRAFT,AAAAI,,AAAAI,AAAAI,AAAAI,AAAAI,1754462620.822348,EyHO9IAMd8+mEw
sdv-id-xRyuNt,AAAAJ,AAAAJ,AAAAJ,AAAAJ,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,,ARCHIVED,AAAAJ,,AAAAJ,AAAAJ,AAAAJ,AAAAJ,1754462620.822348,tuq3JXWnJhgnRA
sdv-id-kTIftw,AAAAK,AAAAK,AAAAK,AAAAK,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,ACTIVE,AAAAK,,AAAAK,AAAAK,AAAAK,AAAAK,1754462620.822348,v6e3yh0vus89bw
sdv-id-LtzqAM,AAAAL,AAAAL,AAAAL,AAAAL,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,ACTIVE,AAAAL,,AAAAL,AAAAL,AAAAL,AAAAL,1754462620.822348,tuq3JXWnJhgnRA
sdv-id-ZIcBAb,AAAAM,AAAAM,AAAAM,AAAAM,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,ACTIVE,AAAAM,,AAAAM,AAAAM,AAAAM,AAAAM,1754462620.822348,vSKaZOC2Nrmh5Q
sdv-id-qiBAfP,AAAAN,AAAAN,AAAAN,AAAAN,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,ACTIVE,AAAAN,,AAAAN,AAAAN,AAAAN,AAAAN,1754462620.822348,acaoYYKfMpW6mQ
sdv-id-lNIDfS,AAAAO,AAAAO,AAAAO,AAAAO,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,ACTIVE,AAAAO,,AAAAO,AAAAO,AAAAO,AAAAO,1754462620.822348,U8fTht/ayStcdQ
sdv-id-ZofBuH,AAAAP,AAAAP,AAAAP,AAAAP,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,,ACTIVE,AAAAP,,AAAAP,AAAAP,AAAAP,AAAAP,1754462620.822348,vSKaZOC2Nrmh5Q
sdv-id-aKWiWd,AAAAQ,AAAAQ,AAAAQ,AAAAQ,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,ACTIVE,AAAAQ,,AAAAQ,AAAAQ,AAAAQ,AAAAQ,1754462620.822348,H/6YYRJ+2weOyA
sdv-id-XpoUKr,AAAAR,AAAAR,AAAAR,AAAAR,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,ACTIVE,AAAAR,,AAAAR,AAAAR,AAAAR,AAAAR,1754462620.822348,v6e3yh0vus89bw
sdv-id-dmacYS,AAAAS,AAAAS,AAAAS,AAAAS,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,ACTIVE,AAAAS,,AAAAS,AAAAS,AAAAS,AAAAS,1754462620.822348,H/6YYRJ+2weOyA
sdv-id-wBQJux,AAAAT,AAAAT,AAAAT,AAAAT,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,,ACTIVE,AAAAT,,AAAAT,AAAAT,AAAAT,AAAAT,1754462620.822348,yfUE7C7jdExjdQ
sdv-id-vvoEWj,AAAAU,AAAAU,AAAAU,AAAAU,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,1969-12-31 19:29:13-05:00,,ACTIVE,AAAAU,,AAAAU,AAAAU,AAAAU,AAAAU,1754462620.822348,nSUr+HiXJ9WSQA
